sgRNA	Gene	ctr	exp
Mpp5_1	Mpp5	7421	6777
Arid2_4	Arid2	2606	2166
Dnase1_3	Dnase1	4632	3795
Klk1b3_4	Klk1b3	5064	4717
Fndc8_3	Fndc8	4918	4397
Appl1_3	Appl1	4974	4427
Scn4a_1	Scn4a	321	312
Pip5k1b_3	Pip5k1b	4806	4496
Rax_4	Rax	5483	4786
Cbx4_1	Cbx4	1917	1986
Nol6_3	Nol6	803	622
Rtca_4	Rtca	2220	1558
Gabrg2_3	Gabrg2	7969	7504
Kansl1l_4	Kansl1l	4725	3642
Pah_3	Pah	1994	1642
Zfhx4_2	Zfhx4	2891	2488
Cnot10_3	Cnot10	1936	1623
Csta1_3	Csta1	2021	1539
Zfat_1	Zfat	400	192
Srrm2_2	Srrm2	3343	2729
Chek1_1	Chek1	2241	1755
Clcn2_1	Clcn2	2659	2268
Tjap1_1	Tjap1	3881	3887
Dsn1_3	Dsn1	2713	2389
Klhl8_3	Klhl8	4110	2595
Hmg20b_4	Hmg20b	13518	10751
Atxn1_3	Atxn1	2585	2083
Wdfy3_4	Wdfy3	3759	3160
Pms2_2	Pms2	70	175
Synpo2l_4	Synpo2l	4201	3309
Foxq1_2	Foxq1	11299	9811
Parn_3	Parn	1180	1036
Polr2k_1	Polr2k	464	232
Hnrnpl_3	Hnrnpl	4096	3087
Ppp1r7_1	Ppp1r7	1957	1527
Kif2c_2	Kif2c	692	598
Ints4_4	Ints4	562	529
Brwd1_4	Brwd1	3805	3052
Stox1_4	Stox1	3136	2795
Zmat2_3	Zmat2	715	807
Xrcc5_2	Xrcc5	4149	3164
Il1r1_2	Il1r1	3167	2331
Kdm5a_1	Kdm5a	2152	2149
Gcm2_4	Gcm2	5975	5733
Snrpc_4	Snrpc	809	1050
Rbm17_1	Rbm17	2437	1774
Tsc1_5	Tsc1	512	495
Ccdc91_4	Ccdc91	3604	2749
Ascl1_3	Ascl1	3179	2998
Ppan_2	Ppan	1247	1028
Nav2_1	Nav2	2753	2179
Atad2_2	Atad2	1322	913
Fiz1_4	Fiz1	2219	1770
Ssbp1_2	Ssbp1	32	28
Otud7a_2	Otud7a	5989	5422
Taf6_1	Taf6	71	57
Cpsf2_1	Cpsf2	894	844
Acat2_4	Acat2	6762	5600
Acat2_3	Acat2	6762	5600
Hmgn5_2	Hmgn5	2292	1804
Spdl1_1	Spdl1	778	884
Hist1h2ah_1	Hist1h2ah	5354	4144
Avpr1b_2	Avpr1b	13669	12123
Mbd5_3	Mbd5	4396	3211
Uxt_3	Uxt	703	532
Zfp691_1	Zfp691	6280	4994
Myo1d_4	Myo1d	4744	4654
Ccnc_3	Ccnc	4625	3611
Hdac2_2	Hdac2	6232	5147
Itpkc_2	Itpkc	2752	2437
Nacc1_1	Nacc1	967	966
Cbfb_4	Cbfb	6038	4839
Wnt5a_1	Wnt5a	11849	10306
Zfp385b_4	Zfp385b	4615	3645
Ahr_2	Ahr	4234	3834
Eepd1_4	Eepd1	2264	1976
Ints6_4	Ints6	1156	826
Fopnl_1	Fopnl	2116	1660
Hint3_1	Hint3	2911	2511
Adora2a_3	Adora2a	2882	2321
Zfp668_1	Zfp668	4851	3855
Hmg20a_4	Hmg20a	3405	2935
Macrod1_1	Macrod1	4818	3816
Zscan21_3	Zscan21	690	639
Zfp426_1	Zfp426	2298	2024
Alkbh4_1	Alkbh4	4932	4278
Snrpb_1	Snrpb	914	760
Tnfaip1_1	Tnfaip1	3672	3343
Rnf14_1	Rnf14	5149	4597
Il2rb_2	Il2rb	11662	9844
Dapk1_2	Dapk1	1902	1289
Psmb1_4	Psmb1	816	928
Aff4_4	Aff4	4805	3994
Tenm2_1	Tenm2	3326	2658
Arfgap3_3	Arfgap3	8965	7560
Grik2_1	Grik2	8136	5795
Gabpb2_4	Gabpb2	2343	1855
Glrx2_1	Glrx2	4368	3631
Zfp939_4	Zfp939	3388	2510
Htr7_2	Htr7	4053	3459
Usp47_2	Usp47	1183	878
Scx_4	Scx	2610	2070
G3bp1_3	G3bp1	3907	3312
Met_3	Met	3171	2340
Naa15_3	Naa15	1957	1824
Fahd1_3	Fahd1	3012	2808
Ubxn2b_2	Ubxn2b	566	343
Pif1_2	Pif1	4126	2869
H1fnt_4	H1fnt	2823	2605
Aifm1_2	Aifm1	6166	4880
Ufsp2_1	Ufsp2	179	149
Satb1_3	Satb1	3779	3796
Mip_2	Mip	1778	1423
Htr1a_5	Htr1a	6917	5616
Echs1_2	Echs1	2304	2341
Acadsb_3	Acadsb	448	425
Msl1_1	Msl1	3035	2730
Bdkrb2_3	Bdkrb2	3959	3628
Blm_4	Blm	4951	3465
Aip_4	Aip	6488	5502
Mycl_1	Mycl	4596	3464
Mpc2_4	Mpc2	2317	2152
Nfic_1	Nfic	8816	7530
Cstf3_4	Cstf3	608	545
Hyal2_1	Hyal2	2711	2080
Zfp58_4	Zfp58	974	863
Lbh_4	Lbh	4581	4084
Lsm5_3	Lsm5	888	769
Agbl5_2	Agbl5	7615	6614
Cyth2_2	Cyth2	1187	976
Fhl1_2	Fhl1	2478	2043
Apitd1_4	Apitd1	2489	2033
Adora1_3	Adora1	4176	3715
Zhx1_2	Zhx1	5372	4088
Bcor_3	Bcor	3015	2348
Prelid1_2	Prelid1	526	603
Anapc16_3	Anapc16	1599	1135
0610010K14Rik_2	0610010K14Rik	2236	1911
42987_3	42987	3653	2724
Xrcc4_3	Xrcc4	6766	5077
Tspyl4_4	Tspyl4	5625	5350
Zscan18_3	Zscan18	1245	1432
Egr3_1	Egr3	6606	6004
Cbll1_2	Cbll1	3522	3513
Ptbp3_4	Ptbp3	3246	2679
Smc1a_4	Smc1a	889	808
Mapk15_3	Mapk15	6718	6112
Csf2rb_2	Csf2rb	2623	2235
Luc7l2_4	Luc7l2	2915	1826
Kcnq5_2	Kcnq5	1770	1484
